Datum;Altersklasse;Geschlecht;Anzahl_Personen
2020-12-27;40 - 49;MA;5
2020-12-27;50 - 59;FE;4
2020-12-27;50 - 59;MA;2
2020-12-27;60 - 69;FE;2
2020-12-27;60 - 69;MA;4
2020-12-27;70 - 79;FE;2
2020-12-27;70 - 79;MA;1
2020-12-27;80 - 89;FE;1
2020-12-28;> 89;FE;3
2020-12-28;> 89;MA;2
2020-12-28;00 - 09;FE;1
2020-12-28;00 - 09;MA;2
2020-12-28;10 - 19;FE;4
2020-12-28;10 - 19;MA;4
2020-12-28;20 - 29;FE;6
2020-12-28;20 - 29;MA;6
2020-12-28;30 - 39;FE;11
2020-12-28;30 - 39;MA;4
2020-12-28;40 - 49;FE;8
2020-12-28;40 - 49;MA;10
2020-12-28;50 - 59;FE;11
2020-12-28;50 - 59;MA;4
2020-12-28;60 - 69;FE;4
2020-12-28;60 - 69;MA;1
2020-12-28;70 - 79;FE;7
2020-12-28;70 - 79;MA;1
2020-12-28;80 - 89;FE;3
2020-12-28;80 - 89;MA;4
2020-12-29;> 89;MA;1
2020-12-29;10 - 19;FE;2
2020-12-29;10 - 19;MA;2
2020-12-29;20 - 29;FE;8
2020-12-29;20 - 29;MA;6
2020-12-29;30 - 39;FE;6
2020-12-29;30 - 39;MA;6
2020-12-29;40 - 49;FE;1
2020-12-29;50 - 59;FE;7
2020-12-29;50 - 59;MA;5
2020-12-29;60 - 69;MA;2
2020-12-29;80 - 89;FE;1
2020-12-29;80 - 89;MA;1
2020-12-30;> 89;FE;1
2020-12-30;00 - 09;MA;1
2020-12-30;10 - 19;FE;1
2020-12-30;10 - 19;MA;1
2020-12-30;20 - 29;FE;4
2020-12-30;20 - 29;MA;6
2020-12-30;30 - 39;FE;7
2020-12-30;30 - 39;MA;5
2020-12-30;40 - 49;FE;5
2020-12-30;50 - 59;FE;5
2020-12-30;50 - 59;MA;4
2020-12-30;60 - 69;FE;4
2020-12-30;60 - 69;MA;3
2020-12-30;70 - 79;FE;4
2020-12-30;70 - 79;MA;1
2020-12-30;80 - 89;FE;3
2020-12-30;80 - 89;MA;3
2020-12-31;> 89;MA;1
2020-12-31;10 - 19;FE;2
2020-12-31;20 - 29;FE;12
2020-12-31;20 - 29;MA;4
2020-12-31;30 - 39;FE;5
2020-12-31;30 - 39;MA;13
2020-12-31;40 - 49;FE;6
2020-12-31;40 - 49;MA;8
2020-12-31;50 - 59;FE;4
2020-12-31;50 - 59;MA;9
2020-12-31;60 - 69;FE;2
2020-12-31;60 - 69;MA;1
2020-12-31;70 - 79;FE;3
2020-12-31;70 - 79;MA;3
2020-12-31;80 - 89;FE;2
2020-12-31;80 - 89;MA;3
2021-01-01;10 - 19;MA;2
2021-01-01;20 - 29;FE;3
2021-01-01;20 - 29;MA;2
2021-01-01;30 - 39;FE;3
2021-01-01;30 - 39;MA;1
2021-01-01;40 - 49;FE;2
2021-01-01;40 - 49;MA;1
2021-01-01;50 - 59;MA;2
2021-01-01;60 - 69;FE;1
2021-01-01;70 - 79;MA;2
2021-01-01;80 - 89;FE;1
2021-01-02;> 89;FE;1
2021-01-02;> 89;MA;1
2021-01-02;00 - 09;FE;2
2021-01-02;00 - 09;MA;1
2021-01-02;10 - 19;FE;3
2021-01-02;10 - 19;MA;4
2021-01-02;20 - 29;FE;9
2021-01-02;20 - 29;MA;4
2021-01-02;30 - 39;FE;3
2021-01-02;30 - 39;MA;6
2021-01-02;40 - 49;FE;2
2021-01-02;40 - 49;MA;2
2021-01-02;50 - 59;FE;3
2021-01-02;50 - 59;MA;2
2021-01-02;60 - 69;MA;2
2021-01-02;70 - 79;FE;3
2021-01-02;70 - 79;MA;4
2021-01-02;80 - 89;FE;3
2021-01-02;80 - 89;MA;2
2021-01-03;00 - 09;MA;1
2021-01-03;10 - 19;FE;2
2021-01-03;10 - 19;MA;1
2021-01-03;20 - 29;FE;5
2021-01-03;20 - 29;MA;6
2021-01-03;30 - 39;FE;2
2021-01-03;30 - 39;MA;8
2021-01-03;40 - 49;FE;4
2021-01-03;40 - 49;MA;3
2021-01-03;50 - 59;FE;3
2021-01-03;50 - 59;MA;2
2021-01-03;60 - 69;FE;2
2021-01-03;60 - 69;MA;2
2021-01-03;70 - 79;FE;1
2021-01-03;70 - 79;MA;1
2021-01-04;> 89;MA;1
2021-01-04;00 - 09;MA;1
2021-01-04;10 - 19;FE;8
2021-01-04;10 - 19;MA;5
2021-01-04;20 - 29;FE;15
2021-01-04;20 - 29;MA;11
2021-01-04;30 - 39;FE;6
2021-01-04;30 - 39;MA;5
2021-01-04;40 - 49;FE;10
2021-01-04;40 - 49;MA;6
2021-01-04;50 - 59;FE;3
2021-01-04;50 - 59;MA;4
2021-01-04;60 - 69;FE;1
2021-01-04;70 - 79;FE;2
2021-01-04;70 - 79;MA;1
2021-01-05;> 89;FE;4
2021-01-05;> 89;MA;1
2021-01-05;00 - 09;MA;1
2021-01-05;10 - 19;FE;3
2021-01-05;10 - 19;MA;5
2021-01-05;20 - 29;FE;14
2021-01-05;20 - 29;MA;4
2021-01-05;30 - 39;FE;4
2021-01-05;30 - 39;MA;8
2021-01-05;40 - 49;FE;5
2021-01-05;40 - 49;MA;4
2021-01-05;50 - 59;FE;5
2021-01-05;50 - 59;MA;8
2021-01-05;60 - 69;FE;2
2021-01-05;60 - 69;MA;2
2021-01-05;70 - 79;FE;4
2021-01-05;80 - 89;FE;5
2021-01-05;80 - 89;MA;2
2021-01-06;> 89;FE;7
2021-01-06;> 89;MA;1
2021-01-06;00 - 09;FE;2
2021-01-06;00 - 09;MA;1
2021-01-06;10 - 19;FE;1
2021-01-06;10 - 19;MA;4
2021-01-06;20 - 29;FE;7
2021-01-06;20 - 29;MA;7
2021-01-06;30 - 39;FE;4
2021-01-06;30 - 39;MA;6
2021-01-06;40 - 49;FE;4
2021-01-06;40 - 49;MA;3
2021-01-06;50 - 59;FE;6
2021-01-06;50 - 59;MA;4
2021-01-06;60 - 69;FE;2
2021-01-06;60 - 69;MA;3
2021-01-06;70 - 79;FE;3
2021-01-06;70 - 79;MA;4
2021-01-06;80 - 89;FE;4
2021-01-07;> 89;FE;3
2021-01-07;> 89;MA;1
2021-01-07;00 - 09;FE;1
2021-01-07;10 - 19;FE;2
2021-01-07;10 - 19;MA;4
2021-01-07;20 - 29;FE;9
2021-01-07;20 - 29;MA;4
2021-01-07;30 - 39;FE;8
2021-01-07;30 - 39;MA;10
2021-01-07;40 - 49;FE;6
2021-01-07;40 - 49;MA;3
2021-01-07;50 - 59;FE;4
2021-01-07;50 - 59;MA;2
2021-01-07;60 - 69;FE;4
2021-01-07;60 - 69;MA;1
2021-01-07;70 - 79;FE;3
2021-01-07;70 - 79;MA;3
2021-01-07;80 - 89;FE;2
2021-01-07;80 - 89;MA;1
2021-01-08;> 89;MA;1
2021-01-08;00 - 09;FE;1
2021-01-08;00 - 09;MA;1
2021-01-08;10 - 19;FE;1
2021-01-08;20 - 29;FE;4
2021-01-08;20 - 29;MA;3
2021-01-08;30 - 39;FE;4
2021-01-08;30 - 39;MA;1
2021-01-08;40 - 49;FE;8
2021-01-08;40 - 49;MA;6
2021-01-08;50 - 59;FE;4
2021-01-08;50 - 59;MA;5
2021-01-08;60 - 69;FE;2
2021-01-08;60 - 69;MA;3
2021-01-08;70 - 79;FE;2
2021-01-08;70 - 79;MA;1
2021-01-08;80 - 89;FE;3
2021-01-08;80 - 89;MA;1
2021-01-09;> 89;FE;2
2021-01-09;> 89;MA;1
2021-01-09;10 - 19;FE;2
2021-01-09;10 - 19;MA;2
2021-01-09;20 - 29;FE;4
2021-01-09;20 - 29;MA;1
2021-01-09;30 - 39;FE;6
2021-01-09;30 - 39;MA;4
2021-01-09;40 - 49;FE;4
2021-01-09;40 - 49;MA;2
2021-01-09;50 - 59;FE;4
2021-01-09;60 - 69;FE;1
2021-01-09;70 - 79;FE;2
2021-01-09;70 - 79;MA;1
2021-01-09;80 - 89;FE;2
2021-01-10;10 - 19;MA;3
2021-01-10;30 - 39;FE;1
2021-01-10;30 - 39;MA;1
2021-01-10;40 - 49;FE;3
2021-01-10;40 - 49;MA;4
2021-01-10;50 - 59;FE;2
2021-01-10;50 - 59;MA;1
2021-01-10;60 - 69;FE;3
2021-01-10;70 - 79;MA;1
2021-01-11;> 89;FE;7
2021-01-11;> 89;MA;3
2021-01-11;10 - 19;FE;4
2021-01-11;10 - 19;MA;1
2021-01-11;20 - 29;FE;3
2021-01-11;20 - 29;MA;7
2021-01-11;30 - 39;FE;6
2021-01-11;30 - 39;MA;3
2021-01-11;40 - 49;FE;4
2021-01-11;40 - 49;MA;4
2021-01-11;50 - 59;FE;7
2021-01-11;50 - 59;MA;4
2021-01-11;60 - 69;FE;2
2021-01-11;60 - 69;MA;2
2021-01-11;80 - 89;FE;2
2021-01-11;80 - 89;MA;1
2021-01-12;> 89;FE;1
2021-01-12;00 - 09;MA;1
2021-01-12;10 - 19;FE;1
2021-01-12;10 - 19;MA;2
2021-01-12;20 - 29;FE;8
2021-01-12;20 - 29;MA;6
2021-01-12;30 - 39;FE;1
2021-01-12;30 - 39;MA;2
2021-01-12;40 - 49;FE;3
2021-01-12;40 - 49;MA;5
2021-01-12;50 - 59;FE;3
2021-01-12;50 - 59;MA;6
2021-01-12;60 - 69;FE;4
2021-01-12;60 - 69;MA;4
2021-01-12;70 - 79;FE;1
2021-01-12;80 - 89;FE;2
2021-01-12;80 - 89;MA;1
2021-01-13;> 89;FE;2
2021-01-13;00 - 09;MA;1
2021-01-13;10 - 19;FE;2
2021-01-13;10 - 19;MA;1
2021-01-13;20 - 29;FE;4
2021-01-13;20 - 29;MA;4
2021-01-13;30 - 39;FE;2
2021-01-13;30 - 39;MA;1
2021-01-13;40 - 49;FE;2
2021-01-13;40 - 49;MA;1
2021-01-13;50 - 59;FE;5
2021-01-13;50 - 59;MA;3
2021-01-13;60 - 69;FE;3
2021-01-13;60 - 69;MA;2
2021-01-13;70 - 79;FE;3
2021-01-13;70 - 79;MA;1
2021-01-13;80 - 89;FE;2
2021-01-13;80 - 89;MA;1
2021-01-14;00 - 09;FE;1
2021-01-14;10 - 19;FE;2
2021-01-14;10 - 19;MA;1
2021-01-14;20 - 29;FE;1
2021-01-14;20 - 29;MA;2
2021-01-14;30 - 39;FE;3
2021-01-14;30 - 39;MA;1
2021-01-14;40 - 49;FE;4
2021-01-14;40 - 49;MA;2
2021-01-14;50 - 59;FE;3
2021-01-14;50 - 59;MA;1
2021-01-14;60 - 69;MA;2
2021-01-14;70 - 79;FE;1
2021-01-14;70 - 79;MA;2
2021-01-15;00 - 09;FE;1
2021-01-15;10 - 19;FE;1
2021-01-15;10 - 19;MA;3
2021-01-15;20 - 29;FE;1
2021-01-15;20 - 29;MA;2
2021-01-15;30 - 39;FE;1
2021-01-15;30 - 39;MA;3
2021-01-15;40 - 49;FE;2
2021-01-15;40 - 49;MA;5
2021-01-15;50 - 59;MA;4
2021-01-15;70 - 79;MA;2
2021-01-16;00 - 09;FE;1
2021-01-16;10 - 19;FE;3
2021-01-16;20 - 29;FE;1
2021-01-16;20 - 29;MA;3
2021-01-16;30 - 39;FE;3
2021-01-16;30 - 39;MA;2
2021-01-16;40 - 49;FE;1
2021-01-16;40 - 49;MA;1
2021-01-16;50 - 59;MA;1
2021-01-16;70 - 79;MA;1
2021-01-16;80 - 89;FE;1
2021-01-17;00 - 09;MA;1
2021-01-17;20 - 29;FE;2
2021-01-17;30 - 39;FE;1
2021-01-17;30 - 39;MA;1
2021-01-17;40 - 49;FE;1
2021-01-17;50 - 59;FE;1
2021-01-17;50 - 59;MA;1
2021-01-17;80 - 89;MA;1
2021-01-18;> 89;MA;1
2021-01-18;00 - 09;FE;1
2021-01-18;10 - 19;FE;1
2021-01-18;10 - 19;MA;1
2021-01-18;20 - 29;FE;4
2021-01-18;20 - 29;MA;5
2021-01-18;30 - 39;FE;4
2021-01-18;30 - 39;MA;3
2021-01-18;40 - 49;FE;5
2021-01-18;40 - 49;MA;3
2021-01-18;50 - 59;FE;2
2021-01-18;50 - 59;MA;1
2021-01-18;60 - 69;FE;1
2021-01-18;60 - 69;MA;2
2021-01-18;70 - 79;FE;1
2021-01-18;70 - 79;MA;1
2021-01-19;00 - 09;FE;1
2021-01-19;00 - 09;MA;4
2021-01-19;10 - 19;FE;2
2021-01-19;10 - 19;MA;2
2021-01-19;20 - 29;FE;4
2021-01-19;20 - 29;MA;7
2021-01-19;30 - 39;FE;7
2021-01-19;30 - 39;MA;3
2021-01-19;40 - 49;FE;5
2021-01-19;40 - 49;MA;2
2021-01-19;50 - 59;FE;3
2021-01-19;50 - 59;MA;2
2021-01-19;60 - 69;MA;3
2021-01-19;80 - 89;FE;1
2021-01-19;80 - 89;MA;1
2021-01-20;> 89;MA;1
2021-01-20;00 - 09;MA;4
2021-01-20;10 - 19;FE;1
2021-01-20;10 - 19;MA;2
2021-01-20;20 - 29;FE;4
2021-01-20;20 - 29;MA;5
2021-01-20;30 - 39;FE;3
2021-01-20;30 - 39;MA;2
2021-01-20;40 - 49;FE;2
2021-01-20;40 - 49;MA;5
2021-01-20;50 - 59;FE;4
2021-01-20;50 - 59;MA;4
2021-01-20;60 - 69;FE;1
2021-01-20;70 - 79;MA;1
2021-01-20;80 - 89;FE;1
2021-01-21;00 - 09;FE;3
2021-01-21;00 - 09;MA;2
2021-01-21;10 - 19;FE;3
2021-01-21;10 - 19;MA;2
2021-01-21;20 - 29;FE;4
2021-01-21;20 - 29;MA;1
2021-01-21;30 - 39;FE;1
2021-01-21;30 - 39;MA;2
2021-01-21;40 - 49;FE;2
2021-01-21;40 - 49;MA;4
2021-01-21;50 - 59;FE;1
2021-01-21;50 - 59;MA;2
2021-01-21;60 - 69;FE;1
2021-01-21;70 - 79;FE;1
2021-01-21;80 - 89;FE;1
2021-01-22;00 - 09;FE;2
2021-01-22;10 - 19;FE;2
2021-01-22;10 - 19;MA;4
2021-01-22;20 - 29;FE;1
2021-01-22;20 - 29;MA;2
2021-01-22;30 - 39;FE;1
2021-01-22;40 - 49;FE;2
2021-01-22;40 - 49;MA;4
2021-01-22;50 - 59;FE;2
2021-01-22;50 - 59;MA;1
2021-01-22;60 - 69;FE;1
2021-01-22;80 - 89;FE;1
2021-01-23;> 89;FE;3
2021-01-23;00 - 09;FE;1
2021-01-23;00 - 09;MA;1
2021-01-23;10 - 19;FE;2
2021-01-23;10 - 19;MA;2
2021-01-23;20 - 29;MA;3
2021-01-23;30 - 39;FE;6
2021-01-23;30 - 39;MA;4
2021-01-23;40 - 49;FE;1
2021-01-23;50 - 59;FE;1
2021-01-23;50 - 59;MA;2
2021-01-23;60 - 69;FE;2
2021-01-23;70 - 79;FE;3
2021-01-23;80 - 89;FE;3
2021-01-24;00 - 09;FE;1
2021-01-24;10 - 19;MA;1
2021-01-24;20 - 29;MA;3
2021-01-24;30 - 39;FE;1
2021-01-24;30 - 39;MA;1
2021-01-24;40 - 49;MA;2
2021-01-24;50 - 59;FE;2
2021-01-24;50 - 59;MA;2
2021-01-24;60 - 69;FE;1
2021-01-24;80 - 89;FE;1
2021-01-25;00 - 09;MA;1
2021-01-25;10 - 19;FE;1
2021-01-25;20 - 29;FE;2
2021-01-25;20 - 29;MA;1
2021-01-25;30 - 39;FE;2
2021-01-25;40 - 49;FE;2
2021-01-25;40 - 49;MA;2
2021-01-25;50 - 59;FE;5
2021-01-25;50 - 59;MA;1
2021-01-25;60 - 69;FE;1
2021-01-25;70 - 79;MA;1
2021-01-25;80 - 89;FE;2
2021-01-25;80 - 89;MA;2
2021-01-26;> 89;FE;2
2021-01-26;00 - 09;MA;6
2021-01-26;10 - 19;FE;1
2021-01-26;10 - 19;MA;1
2021-01-26;20 - 29;FE;1
2021-01-26;20 - 29;MA;6
2021-01-26;30 - 39;FE;5
2021-01-26;30 - 39;MA;2
2021-01-26;40 - 49;FE;7
2021-01-26;40 - 49;MA;1
2021-01-26;50 - 59;FE;2
2021-01-26;50 - 59;MA;4
2021-01-26;60 - 69;MA;1
2021-01-26;70 - 79;FE;3
2021-01-26;70 - 79;MA;1
2021-01-26;80 - 89;FE;5
2021-01-27;00 - 09;FE;6
2021-01-27;10 - 19;FE;2
2021-01-27;10 - 19;MA;1
2021-01-27;20 - 29;FE;8
2021-01-27;20 - 29;MA;5
2021-01-27;30 - 39;FE;2
2021-01-27;30 - 39;MA;3
2021-01-27;40 - 49;FE;2
2021-01-27;40 - 49;MA;2
2021-01-27;50 - 59;MA;2
2021-01-27;60 - 69;MA;1
2021-01-28;00 - 09;FE;1
2021-01-28;10 - 19;MA;1
2021-01-28;20 - 29;FE;1
2021-01-28;20 - 29;MA;3
2021-01-28;30 - 39;FE;2
2021-01-28;30 - 39;MA;1
2021-01-28;40 - 49;FE;2
2021-01-28;40 - 49;MA;1
2021-01-28;50 - 59;MA;1
2021-01-28;60 - 69;FE;2
2021-01-28;70 - 79;MA;1
2021-01-29;> 89;FE;1
2021-01-29;00 - 09;FE;3
2021-01-29;00 - 09;MA;1
2021-01-29;10 - 19;FE;2
2021-01-29;10 - 19;MA;2
2021-01-29;20 - 29;FE;6
2021-01-29;20 - 29;MA;1
2021-01-29;30 - 39;FE;5
2021-01-29;30 - 39;MA;3
2021-01-29;40 - 49;FE;1
2021-01-29;40 - 49;MA;2
2021-01-29;50 - 59;FE;2
2021-01-29;60 - 69;FE;1
2021-01-29;60 - 69;MA;1
2021-01-29;70 - 79;FE;2
2021-01-29;70 - 79;MA;1
2021-01-29;80 - 89;FE;2
2021-01-30;10 - 19;MA;1
2021-01-30;20 - 29;FE;1
2021-01-30;20 - 29;MA;1
2021-01-30;30 - 39;FE;3
2021-01-30;30 - 39;MA;1
2021-01-30;40 - 49;MA;2
2021-01-30;50 - 59;FE;2
2021-01-30;50 - 59;MA;1
2021-01-30;80 - 89;MA;1
2021-01-31;> 89;FE;1
2021-01-31;00 - 09;FE;2
2021-01-31;10 - 19;FE;1
2021-01-31;20 - 29;FE;1
2021-01-31;30 - 39;FE;2
2021-01-31;30 - 39;MA;2
2021-01-31;40 - 49;FE;1
2021-01-31;60 - 69;MA;1
2021-02-01;00 - 09;FE;1
2021-02-01;00 - 09;MA;4
2021-02-01;10 - 19;FE;2
2021-02-01;10 - 19;MA;1
2021-02-01;20 - 29;FE;1
2021-02-01;20 - 29;MA;2
2021-02-01;30 - 39;FE;2
2021-02-01;30 - 39;MA;2
2021-02-01;40 - 49;FE;2
2021-02-01;40 - 49;MA;1
2021-02-01;50 - 59;FE;2
2021-02-01;60 - 69;MA;1
2021-02-01;70 - 79;FE;1
2021-02-02;00 - 09;FE;2
2021-02-02;00 - 09;MA;4
2021-02-02;10 - 19;FE;5
2021-02-02;10 - 19;MA;7
2021-02-02;20 - 29;FE;1
2021-02-02;20 - 29;MA;2
2021-02-02;30 - 39;FE;4
2021-02-02;30 - 39;MA;2
2021-02-02;40 - 49;FE;3
2021-02-02;40 - 49;MA;1
2021-02-02;50 - 59;FE;3
2021-02-02;50 - 59;MA;1
2021-02-02;60 - 69;MA;1
2021-02-02;70 - 79;FE;1
2021-02-02;70 - 79;MA;1
2021-02-03;> 89;FE;1
2021-02-03;00 - 09;FE;1
2021-02-03;00 - 09;MA;2
2021-02-03;10 - 19;FE;2
2021-02-03;10 - 19;MA;1
2021-02-03;20 - 29;MA;3
2021-02-03;30 - 39;FE;1
2021-02-03;30 - 39;MA;1
2021-02-03;40 - 49;FE;3
2021-02-03;40 - 49;MA;2
2021-02-03;50 - 59;FE;3
2021-02-03;50 - 59;MA;3
2021-02-03;80 - 89;FE;1
2021-02-04;00 - 09;FE;1
2021-02-04;10 - 19;FE;3
2021-02-04;10 - 19;MA;2
2021-02-04;20 - 29;FE;2
2021-02-04;20 - 29;MA;3
2021-02-04;30 - 39;FE;3
2021-02-04;30 - 39;MA;1
2021-02-04;40 - 49;FE;2
2021-02-04;50 - 59;FE;1
2021-02-04;50 - 59;MA;1
2021-02-04;60 - 69;MA;1
2021-02-05;00 - 09;FE;3
2021-02-05;00 - 09;MA;2
2021-02-05;10 - 19;FE;8
2021-02-05;10 - 19;MA;1
2021-02-05;20 - 29;FE;1
2021-02-05;30 - 39;FE;2
2021-02-05;30 - 39;MA;3
2021-02-05;40 - 49;FE;2
2021-02-05;40 - 49;MA;1
2021-02-05;50 - 59;FE;4
2021-02-05;50 - 59;MA;3
2021-02-05;60 - 69;FE;2
2021-02-05;60 - 69;MA;1
2021-02-05;70 - 79;MA;1
2021-02-05;80 - 89;FE;1
2021-02-06;00 - 09;FE;2
2021-02-06;00 - 09;MA;3
2021-02-06;10 - 19;MA;2
2021-02-06;20 - 29;MA;1
2021-02-06;30 - 39;MA;2
2021-02-06;40 - 49;FE;5
2021-02-06;40 - 49;MA;2
2021-02-06;50 - 59;FE;1
2021-02-06;50 - 59;MA;2
2021-02-06;60 - 69;FE;2
2021-02-06;60 - 69;MA;2
2021-02-07;00 - 09;FE;2
2021-02-07;00 - 09;MA;1
2021-02-07;10 - 19;FE;4
2021-02-07;10 - 19;MA;2
2021-02-07;20 - 29;FE;2
2021-02-07;20 - 29;MA;2
2021-02-07;40 - 49;MA;2
2021-02-07;50 - 59;MA;1
2021-02-07;60 - 69;FE;2
2021-02-07;60 - 69;MA;1
2021-02-08;10 - 19;FE;1
2021-02-08;10 - 19;MA;3
2021-02-08;20 - 29;FE;3
2021-02-08;30 - 39;FE;1
2021-02-08;30 - 39;MA;1
2021-02-08;40 - 49;FE;2
2021-02-08;40 - 49;MA;3
2021-02-08;50 - 59;FE;3
2021-02-08;50 - 59;MA;1
2021-02-08;60 - 69;MA;1
2021-02-08;70 - 79;FE;2
2021-02-09;00 - 09;MA;1
2021-02-09;10 - 19;FE;8
2021-02-09;10 - 19;MA;2
2021-02-09;20 - 29;FE;2
2021-02-09;20 - 29;MA;1
2021-02-09;30 - 39;FE;2
2021-02-09;30 - 39;MA;2
2021-02-09;40 - 49;FE;5
2021-02-09;40 - 49;MA;1
2021-02-09;50 - 59;FE;1
2021-02-09;50 - 59;MA;2
2021-02-09;60 - 69;FE;1
2021-02-09;60 - 69;MA;1
2021-02-09;80 - 89;FE;1
2021-02-10;00 - 09;MA;2
2021-02-10;10 - 19;FE;1
2021-02-10;10 - 19;MA;1
2021-02-10;20 - 29;FE;1
2021-02-10;30 - 39;FE;1
2021-02-10;30 - 39;MA;2
2021-02-10;40 - 49;FE;1
2021-02-10;40 - 49;MA;2
2021-02-10;50 - 59;FE;1
2021-02-10;60 - 69;FE;2
2021-02-10;70 - 79;MA;1
2021-02-11;00 - 09;FE;2
2021-02-11;10 - 19;MA;2
2021-02-11;20 - 29;FE;2
2021-02-11;30 - 39;FE;1
2021-02-11;30 - 39;MA;2
2021-02-11;40 - 49;FE;2
2021-02-11;40 - 49;MA;1
2021-02-11;50 - 59;MA;2
2021-02-11;60 - 69;FE;1
2021-02-11;60 - 69;MA;1
2021-02-12;10 - 19;MA;1
2021-02-12;20 - 29;MA;1
2021-02-12;30 - 39;MA;1
2021-02-12;40 - 49;FE;2
2021-02-12;40 - 49;MA;5
2021-02-12;50 - 59;MA;2
2021-02-13;00 - 09;MA;1
2021-02-13;20 - 29;FE;3
2021-02-13;20 - 29;MA;1
2021-02-13;30 - 39;FE;4
2021-02-13;30 - 39;MA;2
2021-02-13;40 - 49;MA;2
2021-02-13;50 - 59;FE;2
2021-02-14;00 - 09;MA;1
2021-02-14;30 - 39;MA;2
2021-02-14;60 - 69;FE;1
2021-02-14;60 - 69;MA;1
2021-02-14;70 - 79;FE;1
2021-02-15;10 - 19;FE;2
2021-02-15;20 - 29;MA;1
2021-02-15;50 - 59;FE;1
2021-02-15;50 - 59;MA;1
2021-02-15;60 - 69;FE;1
2021-02-15;80 - 89;FE;1
2021-02-16;00 - 09;MA;1
2021-02-16;10 - 19;FE;1
2021-02-16;10 - 19;MA;3
2021-02-16;20 - 29;FE;1
2021-02-16;30 - 39;FE;2
2021-02-16;60 - 69;MA;2
2021-02-16;70 - 79;MA;1
2021-02-17;10 - 19;FE;1
2021-02-17;10 - 19;MA;1
2021-02-17;20 - 29;FE;2
2021-02-17;20 - 29;MA;3
2021-02-17;30 - 39;FE;4
2021-02-17;30 - 39;MA;3
2021-02-17;40 - 49;FE;1
2021-02-17;40 - 49;MA;2
2021-02-17;50 - 59;MA;2
2021-02-17;60 - 69;MA;1
2021-02-17;80 - 89;MA;1
2021-02-18;00 - 09;MA;1
2021-02-18;10 - 19;FE;1
2021-02-18;10 - 19;MA;1
2021-02-18;20 - 29;FE;1
2021-02-18;20 - 29;MA;2
2021-02-18;30 - 39;FE;2
2021-02-18;30 - 39;MA;1
2021-02-18;40 - 49;MA;3
2021-02-18;50 - 59;MA;1
2021-02-19;00 - 09;FE;1
2021-02-19;20 - 29;FE;2
2021-02-19;30 - 39;FE;1
2021-02-19;30 - 39;MA;2
2021-02-19;40 - 49;FE;3
2021-02-19;50 - 59;FE;1
2021-02-19;60 - 69;FE;1
2021-02-19;70 - 79;MA;1
2021-02-20;> 89;FE;1
2021-02-20;00 - 09;FE;2
2021-02-20;10 - 19;MA;1
2021-02-20;20 - 29;MA;2
2021-02-20;40 - 49;FE;2
2021-02-20;40 - 49;MA;1
2021-02-20;50 - 59;FE;1
2021-02-20;50 - 59;MA;1
2021-02-20;70 - 79;FE;2
2021-02-20;80 - 89;MA;1
2021-02-21;10 - 19;MA;3
2021-02-21;20 - 29;MA;1
2021-02-21;40 - 49;MA;2
2021-02-21;50 - 59;FE;1
2021-02-21;60 - 69;MA;1
2021-02-22;00 - 09;MA;1
2021-02-22;10 - 19;FE;1
2021-02-22;20 - 29;FE;3
2021-02-22;20 - 29;MA;1
2021-02-22;30 - 39;FE;4
2021-02-22;30 - 39;MA;3
2021-02-22;40 - 49;FE;1
2021-02-22;50 - 59;MA;1
2021-02-22;60 - 69;FE;2
2021-02-23;00 - 09;MA;1
2021-02-23;20 - 29;FE;2
2021-02-23;20 - 29;MA;3
2021-02-23;30 - 39;FE;2
2021-02-23;30 - 39;MA;3
2021-02-23;40 - 49;FE;2
2021-02-23;40 - 49;MA;1
2021-02-23;50 - 59;FE;3
2021-02-23;50 - 59;MA;2
2021-02-23;70 - 79;MA;1
2021-02-24;10 - 19;MA;1
2021-02-24;20 - 29;FE;3
2021-02-24;20 - 29;MA;3
2021-02-24;30 - 39;FE;2
2021-02-24;40 - 49;FE;1
2021-02-24;40 - 49;MA;1
2021-02-24;50 - 59;MA;1
2021-02-24;60 - 69;FE;1
2021-02-24;60 - 69;MA;1
2021-02-24;70 - 79;MA;1
2021-02-25;00 - 09;FE;1
2021-02-25;00 - 09;MA;3
2021-02-25;10 - 19;FE;1
2021-02-25;10 - 19;MA;5
2021-02-25;20 - 29;FE;2
2021-02-25;20 - 29;MA;2
2021-02-25;30 - 39;FE;3
2021-02-25;30 - 39;MA;3
2021-02-25;40 - 49;FE;4
2021-02-25;40 - 49;MA;2
2021-02-25;50 - 59;FE;2
2021-02-25;60 - 69;FE;1
2021-02-26;00 - 09;MA;1
2021-02-26;10 - 19;FE;1
2021-02-26;20 - 29;FE;2
2021-02-26;30 - 39;FE;3
2021-02-26;30 - 39;MA;2
2021-02-26;40 - 49;FE;1
2021-02-26;40 - 49;MA;4
2021-02-26;50 - 59;FE;1
2021-02-26;50 - 59;MA;3
2021-02-26;60 - 69;FE;1
2021-02-27;00 - 09;FE;1
2021-02-27;10 - 19;FE;1
2021-02-27;10 - 19;MA;3
2021-02-27;20 - 29;FE;2
2021-02-27;30 - 39;FE;3
2021-02-27;40 - 49;FE;1
2021-02-27;50 - 59;MA;2
2021-02-28;> 89;FE;1
2021-02-28;00 - 09;MA;1
2021-02-28;20 - 29;FE;1
2021-02-28;20 - 29;MA;1
